"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=primates&show=ref"
"Access Time","Mon 2023-03-13 21:35:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","timerule","major"
"","taxon_status","all"
"","show","ref"
"Elapsed Time","0.00432"
"Records Found","2322"
"Records Returned","2322"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no","primary_reference"
"57268","spm","N","","0","","Kenya National Museums","","","","femur","male","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57269","spm","N","","0","","Kenya National Museums","","","","tibia","male","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57270","spm","N","","0","","Kenya National Museums","","","","humerus","male","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57271","spm","N","","0","","Kenya National Museums","","","","ulna","male","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57272","spm","N","","0","","Kenya National Museums","","","","body","female","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57273","spm","N","","0","","Kenya National Museums","","","","femur","female","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57274","spm","N","","0","","Kenya National Museums","","","","tibia","female","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57275","spm","N","","0","","Kenya National Museums","","","","humerus","female","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57276","spm","N","","0","","Kenya National Museums","","","","ulna","female","10","table","","","Papio cynocephalus","species","231526","","Papio cynocephalus","species","231525","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57277","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","male","2","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57278","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","male","3","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57279","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","male","3","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57280","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","male","3","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57281","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","male","3","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57282","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","female","4","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57283","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","female","6","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57284","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","female","6","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57285","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","female","6","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57286","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","female","6","table","","","Macaca nemestrina","species","231528","","Macaca nemestrina","species","231527","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57287","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","male","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57288","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","male","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57289","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","male","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57290","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","male","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57291","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","male","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57292","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","female","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57293","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","female","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57294","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","female","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57295","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","female","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57296","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","female","10","table","","","Macaca fascicularis","species","231530","","Macaca fascicularis","species","231529","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57297","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","male","6","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57298","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","male","6","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57299","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","male","6","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57300","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","male","6","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57301","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","male","6","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57302","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","female","5","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57303","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","female","5","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57304","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","female","5","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57305","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","female","5","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57306","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","female","5","table","","","Nasalis larvatus","species","231532","","Nasalis larvatus","species","231531","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57307","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","male","9","table","","","Colobus guereza","species","231533","","Colobus guereza","species","231533","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57308","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","male","9","table","","","Colobus guereza","species","231533","","Colobus guereza","species","231533","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57309","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","male","9","table","","","Colobus guereza","species","231533","","Colobus guereza","species","231533","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57310","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","female","9","table","","","Colobus guereza","species","231533","","Colobus guereza","species","231533","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57311","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","female","9","table","","","Colobus guereza","species","231533","","Colobus guereza","species","231533","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57312","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","female","9","table","","","Colobus guereza","species","231533","","Colobus guereza","species","231533","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57313","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","male","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57314","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","male","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57315","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","male","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57316","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","male","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57317","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","male","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57318","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","female","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57319","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","female","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57320","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","female","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57321","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","female","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57322","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","female","5","table","","","Trachypithecus cristatus","species","231535","","Trachypithecus cristatus","species","231534","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57323","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","male","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57324","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","male","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57325","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","male","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57326","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","male","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57327","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","male","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57328","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","body","female","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57329","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","femur","female","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57330","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","tibia","female","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57331","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","humerus","female","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"57332","spm","N","","0","","MCZ and/or Smithsonian Institution","","","","ulna","female","5","table","","","Presbytis rubicunda","species","231537","","Presbytis rubicunda","species","231536","","","41107","C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37"
"58843","spm","N","","0","","","","","","scapula","","92","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41162","L. A. P. Kohn, L. Bishoff Langton, and J. M. Cheverud. 2001. Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton. American Journal of Primatology 54:41-56"
"58844","spm","N","","0","","","","","","humerus","","91","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41162","L. A. P. Kohn, L. Bishoff Langton, and J. M. Cheverud. 2001. Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton. American Journal of Primatology 54:41-56"
"58845","spm","N","","0","","","","","","radius","","91","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41162","L. A. P. Kohn, L. Bishoff Langton, and J. M. Cheverud. 2001. Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton. American Journal of Primatology 54:41-56"
"58846","spm","N","","0","","","","","","ulna","","91","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41162","L. A. P. Kohn, L. Bishoff Langton, and J. M. Cheverud. 2001. Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton. American Journal of Primatology 54:41-56"
"58847","spm","N","","0","","","","","","femur","","68","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41162","L. A. P. Kohn, L. Bishoff Langton, and J. M. Cheverud. 2001. Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton. American Journal of Primatology 54:41-56"
"58848","spm","N","","0","","","","","","tibia","","88","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41162","L. A. P. Kohn, L. Bishoff Langton, and J. M. Cheverud. 2001. Subspecific genetic differences in the saddle-back tamarin (Saguinus fuscicollis) postcranial skeleton. American Journal of Primatology 54:41-56"
"58852","spm","N","","0","","Campina Tupana FR-92 INPA","","","","body","male","1","table","","","Saguinus fuscicollis","species","231758","recombined as","Leontocebus fuscicollis","species","231757","","","41843","F. Röhe, J. de Sousa e Silva Jr., and R. Sampaio, A. B. Rylands. 2009. A new subspecies of Saguinus fuscicollis. International Journal of Primatology 30:533-551"
"59651","spm","N","","0","","","","","","body","","1","text","","","Macaca assamensis","species","231976","","Macaca assamensis","species","231975","","","41186","V. T. Dào. 1967. Notes sur une collection de mammiferes de la region de Yen-Bai (Nord-Vietnam). Mitteilungen aus dem Museum für Naturkunde in Berlin 43(1):117-125"
"59652","spm","N","","0","","","","","","body","","1","text","","","Nycticebus pygmaeus","species","231977","","Nycticebus pygmaeus","species","231977","","","41186","V. T. Dào. 1967. Notes sur une collection de mammiferes de la region de Yen-Bai (Nord-Vietnam). Mitteilungen aus dem Museum für Naturkunde in Berlin 43(1):117-125"
"60783","spm","N","","0","","RCS No. 5569","","","","scapula","male","1","table","","""Man"" (a ""male European"" according to the 1853 RCS ""Descriptive Catalogue"")","Homo sapiens","species","83088","","Homo sapiens","species","83088","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60784","spm","N","","0","","RCS No. 5569","","","","humerus","male","1","table","","""Man"" (a ""male European"" according to the 1853 RCS ""Descriptive Catalogue"")","Homo sapiens","species","83088","","Homo sapiens","species","83088","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60785","spm","N","","0","","RCS No. 5569","","","","radius","male","1","table","","""Man"" (a ""male European"" according to the 1853 RCS ""Descriptive Catalogue"")","Homo sapiens","species","83088","","Homo sapiens","species","83088","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60786","spm","N","","0","","RCS No. 5569","","","","ulna","male","1","table","","""Man"" (a ""male European"" according to the 1853 RCS ""Descriptive Catalogue"")","Homo sapiens","species","83088","","Homo sapiens","species","83088","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60787","spm","N","","0","","RCS No. 5569","","","","femur","male","1","table","","""Man"" (a ""male European"" according to the 1853 RCS ""Descriptive Catalogue"")","Homo sapiens","species","83088","","Homo sapiens","species","83088","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60788","spm","N","","0","","RCS No. 5569","","","","tibia","male","1","table","","""Man"" (a ""male European"" according to the 1853 RCS ""Descriptive Catalogue"")","Homo sapiens","species","83088","","Homo sapiens","species","83088","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60839","spm","N","","0","","RCS No. 5178","","","","scapula","male","1","table","","""Gorilla"" (""Troglodytes Gorilla"" according to the 1853 RCS ""Descriptive Catalogue""); all potential ""width"" measurements are strongly oblique relative to the axis of the spine","Troglodytes gorilla","species","231496","recombined as","Gorilla gorilla","species","231496","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60840","spm","N","","0","","RCS No. 5178","","","","humerus","male","1","table","","""Gorilla"" (""Troglodytes Gorilla"" according to the 1853 RCS ""Descriptive Catalogue"")","Troglodytes gorilla","species","231496","recombined as","Gorilla gorilla","species","231496","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60841","spm","N","","0","","RCS No. 5178","","","","radius","male","1","table","","""Gorilla"" (""Troglodytes Gorilla"" according to the 1853 RCS ""Descriptive Catalogue"")","Troglodytes gorilla","species","231496","recombined as","Gorilla gorilla","species","231496","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60842","spm","N","","0","","RCS No. 5178","","","","ulna","male","1","table","","""Gorilla"" (""Troglodytes Gorilla"" according to the 1853 RCS ""Descriptive Catalogue"")","Troglodytes gorilla","species","231496","recombined as","Gorilla gorilla","species","231496","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
"60843","spm","N","","0","","RCS No. 5178","","","","femur","male","1","table","","""Gorilla"" (""Troglodytes Gorilla"" according to the 1853 RCS ""Descriptive Catalogue"")","Troglodytes gorilla","species","231496","recombined as","Gorilla gorilla","species","231496","","","41208","St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429"
